specialty,name,qualifications,experience,rating,hospital,phone
"Endocrinologist","Dr. Christopher Njoroge","MBChB, MMed - Aga Khan University | Board Certified Endocrinology","13 years in hormone disorders and diabetes care","4.7","Aga Khan University Hospital Nairobi","0712345014"
"Endocrinologist","Dr. Karen Atieno Odhiambo","MBChB, MMed - University of Nairobi | Board Certified Endocrinology","16 years in pediatric and adult endocrinology","4.8","Nairobi Hospital","0712345015"
"Cardiologist","Dr. Thomas Wekesa","MBChB, MMed - University of Nairobi | Board Certified Cardiology","25 years in interventional cardiology","5.0","Nairobi Hospital","0712345016"
"Cardiologist","Dr. Elizabeth Chepkemoi","MBChB, MMed - Moi University | Board Certified Cardiology","18 years specializing in heart failure and hypertension","4.9","Moi Teaching and Referral Hospital","0712345017"
"Cardiologist","Dr. Daniel Kipruto","MBChB, MMed - Kenyatta University | Board Certified Cardiology","20 years in preventive cardiology and lipid disorders","4.9","Kenyatta National Hospital","0712345018"
"Cardiologist","Dr. Michelle Naliaka","MBChB, MMed - Aga Khan University | Board Certified Cardiology","16 years in arrhythmia management","4.8","Aga Khan University Hospital Nairobi","0712345019"
"Cardiologist","Dr. Steven Mwangi","MBChB, MMed - University of Nairobi | Board Certified Cardiology","14 years in cardiac imaging and non-invasive cardiology","4.8","Nairobi Hospital","0712345020"
"Neurologist","Dr. Rachel Njeri","MBChB, MMed - University of Nairobi | Board Certified Neurology","19 years specializing in headache and migraine disorders","4.9","Nairobi Hospital","0712345021"
"Neurologist","Dr. Kevin Ouma","MBChB, MMed - Moi University | Board Certified Neurology","21 years in stroke prevention and treatment","4.9","Moi Teaching and Referral Hospital","0712345022"
"Neurologist","Dr. Amanda Wanjala","MBChB, MMed - Kenyatta University | Board Certified Neurology","15 years treating movement disorders","4.8","Kenyatta National Hospital","0712345023"
"Neurologist","Dr. Brian Mutiso","MBChB, MMed - Aga Khan University | Board Certified Neurology","13 years in epilepsy and seizure management","4.7","Aga Khan University Hospital Nairobi","0712345024"
"Neurologist","Dr. Lisa Chepkirui","MBChB, MMed - University of Nairobi | Board Certified Neurology","17 years in neuromuscular diseases","4.8","Nairobi Hospital","0712345025"
"Gastroenterologist","Dr. Mark Njagi","MBChB, MMed - University of Nairobi | Board Certified Gastroenterology","18 years in digestive disorders and endoscopy","4.9","Nairobi Hospital","0712345026"
"Gastroenterologist","Dr. Jessica Akinyi","MBChB, MMed - Moi University | Board Certified Gastroenterology","16 years specializing in inflammatory bowel disease","4.8","Moi Teaching and Referral Hospital","0712345027"
"Gastroenterologist","Dr. William Odhiambo","MBChB, MMed - Kenyatta University | Board Certified Gastroenterology","20 years in liver diseases and hepatology","4.9","Kenyatta National Hospital","0712345028"
"Gastroenterologist","Dr. Nicole Wambui","MBChB, MMed - Aga Khan University | Board Certified Gastroenterology","12 years treating acid reflux and gastritis","4.7","Aga Khan University Hospital Nairobi","0712345029"
"Gastroenterologist","Dr. Joseph Mworia","MBChB, MMed - University of Nairobi | Board Certified Gastroenterology","15 years in advanced endoscopic procedures","4.8","Nairobi Hospital","0712345030"
"Urologist","Dr. Charles Kiptoo","MBChB, MMed - University of Nairobi | Board Certified Urology","22 years in urinary tract infections and kidney stones","4.9","Nairobi Hospital","0712345031"
"Urologist","Dr. Rebecca Anyango","MBChB, MMed - Moi University | Board Certified Urology","17 years in female urology","4.8","Moi Teaching and Referral Hospital","0712345032"
"Urologist","Dr. Gregory Njoroge","MBChB, MMed - Kenyatta University | Board Certified Urology","19 years treating prostate and bladder conditions","4.9","Kenyatta National Hospital","0712345033"
"Urologist","Dr. Sarah Chebet","MBChB, MMed - Aga Khan University | Board Certified Urology","14 years in minimally invasive urology","4.8","Aga Khan University Hospital Nairobi","0712345034"
"Urologist","Dr. Anthony Wambua","MBChB, MMed - University of Nairobi | Board Certified Urology","16 years in reconstructive urology","4.8","Nairobi Hospital","0712345035"
"Dermatologist","Dr. Victoria Achieng","MBChB, MMed - University of Nairobi | Board Certified Dermatology","16 years treating skin allergies and eczema","4.9","Nairobi Hospital","0712345036"
"Dermatologist","Dr. Matthew Mwangi","MBChB, MMed - Moi University | Board Certified Dermatology","14 years in medical and cosmetic dermatology","4.8","Moi Teaching and Referral Hospital","0712345037"
"Dermatologist","Dr. Samantha Njeri","MBChB, MMed - Kenyatta University | Board Certified Dermatology","18 years specializing in inflammatory skin conditions","4.9","Kenyatta National Hospital","0712345038"
"Dermatologist","Dr. Jonathan Odhiambo","MBChB, MMed - Aga Khan University | Board Certified Dermatology","12 years in pediatric dermatology","4.7","Aga Khan University Hospital Nairobi","0712345039"
"Dermatologist","Dr. Laura Chepkemoi","MBChB, MMed - University of Nairobi | Board Certified Dermatology","15 years treating acne and chronic skin diseases","4.8","Nairobi Hospital","0712345040"
"Ophthalmologist","Dr. Christopher Mwende","MBChB, MMed - University of Nairobi | Board Certified Ophthalmology","20 years in cornea and external eye diseases","4.9","Nairobi Hospital","0712345041"
"Ophthalmologist","Dr. Michelle Akinyi","MBChB, MMed - Moi University | Board Certified Ophthalmology","17 years treating eye infections and inflammation","4.8","Moi Teaching and Referral Hospital","0712345042"
"Ophthalmologist","Dr. Ryan Kiptoo","MBChB, MMed - Kenyatta University | Board Certified Ophthalmology","15 years in retinal diseases","4.9","Kenyatta National Hospital","0712345043"
"Ophthalmologist","Dr. Olivia Wambui","MBChB, MMed - Aga Khan University | Board Certified Ophthalmology","13 years in cataract and refractive surgery","4.8","Aga Khan University Hospital Nairobi","0712345044"
"Ophthalmologist","Dr. Eric Njoroge","MBChB, MMed - University of Nairobi | Board Certified Ophthalmology","19 years in glaucoma management","4.9","Nairobi Hospital","0712345045"
"ENT Specialist","Dr. Brandon Mwangi","MBChB, MMed - University of Nairobi | Board Certified Otolaryngology","18 years in sinus and nasal disorders","4.9","Nairobi Hospital","0712345046"
"ENT Specialist","Dr. Ashley Chebet","MBChB, MMed - Moi University | Board Certified Otolaryngology","15 years treating chronic sinusitis","4.8","Moi Teaching and Referral Hospital","0712345047"
"ENT Specialist","Dr. Tyler Kiprono","MBChB, MMed - Kenyatta University | Board Certified Otolaryngology","21 years in head and neck surgery","4.9","Kenyatta National Hospital","0712345048"
"ENT Specialist","Dr. Melissa Wanjiku","MBChB, MMed - Aga Khan University | Board Certified Otolaryngology","14 years in pediatric ENT","4.8","Aga Khan University Hospital Nairobi","0712345049"
"ENT Specialist","Dr. Scott Njoroge","MBChB, MMed - University of Nairobi | Board Certified Otolaryngology","17 years in rhinology and sinus surgery","4.8","Nairobi Hospital","0712345050"
"Rheumatologist","Dr. Christina Chepkemoi","MBChB, MMed - University of Nairobi | Board Certified Rheumatology","19 years specializing in arthritis and autoimmune diseases","4.9","Nairobi Hospital","0712345051"
"Rheumatologist","Dr. Justin Kiprono","MBChB, MMed - Moi University | Board Certified Rheumatology","23 years in rheumatoid arthritis research and treatment","4.9","Moi Teaching and Referral Hospital","0712345052"
"Rheumatologist","Dr. Angela Wambui","MBChB, MMed - Kenyatta University | Board Certified Rheumatology","16 years treating lupus and joint diseases","4.8","Kenyatta National Hospital","0712345053"
"Rheumatologist","Dr. Nathan Mwangi","MBChB, MMed - Aga Khan University | Board Certified Rheumatology","14 years in osteoarthritis management","4.8","Aga Khan University Hospital Nairobi","0712345054"
"Rheumatologist","Dr. Stephanie Njeri","MBChB, MMed - University of Nairobi | Board Certified Rheumatology","18 years in inflammatory arthritis","4.9","Nairobi Hospital","0712345055"
"Psychiatrist","Dr. Marcus Ouma","MBChB, MMed - University of Nairobi | Board Certified Psychiatry","17 years specializing in anxiety and mood disorders","4.9","Nairobi Hospital","0712345056"
"Psychiatrist","Dr. Lauren Chebet","MBChB, MMed - Moi University | Board Certified Psychiatry","15 years in cognitive behavioral therapy","4.8","Moi Teaching and Referral Hospital","0712345057"
"Psychiatrist","Dr. Jacob Njoroge","MBChB, MMed - Kenyatta University | Board Certified Psychiatry","20 years treating depression and bipolar disorder","4.9","Kenyatta National Hospital","0712345058"
"Psychiatrist","Dr. Emma Wanjiku","MBChB, MMed - Aga Khan University | Board Certified Psychiatry","13 years in psychopharmacology","4.8","Aga Khan University Hospital Nairobi","0712345059"
"Psychiatrist","Dr. Noah Mwende","MBChB, MMed - University of Nairobi | Board Certified Psychiatry","16 years in trauma and PTSD treatment","4.8","Nairobi Hospital","0712345060"
"Hematologist","Dr. Sophia Chepkemoi","MBChB, MMed - University of Nairobi | Board Certified Hematology","21 years specializing in anemia and blood disorders","4.9","Nairobi Hospital","0712345061"
"Hematologist","Dr. Lucas Otieno","MBChB, MMed - Moi University | Board Certified Hematology","18 years in iron deficiency and vitamin deficiencies","4.9","Moi Teaching and Referral Hospital","0712345062"
"Hematologist","Dr. Isabella Wambui","MBChB, MMed - Kenyatta University | Board Certified Hematology","16 years treating bleeding and clotting disorders","4.8","Kenyatta National Hospital","0712345063"
"Hematologist","Dr. Ethan Njoroge","MBChB, MMed - Aga Khan University | Board Certified Hematology","14 years in bone marrow disorders","4.8","Aga Khan University Hospital Nairobi","0712345064"
"Hematologist","Dr. Mia Chebet","MBChB, MMed - University of Nairobi | Board Certified Hematology","19 years in sickle cell disease and thalassemia","4.9","Nairobi Hospital","0712345065"
